Q1_res,Q1_cat,user_id,Total (MB),Downlink (Kbps),Uplink (Kbps),Downlink TCP Rate(%),Video Download (Kbps),Video Delay (ms),Web Download (Kbps),Web TCP RTT(ms),Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_all,outliers,LogisticRegression,RandomForest,GaussianNB,KNeighborsClassifier,AdaBoostClassifier,threshold,Q1_new,new_cls,STD Downlink (Kbps),STD Uplink (Kbps),STD Downlink TCP Rate(%),STD Video Download (Kbps),STD Video Delay (ms),STD Web Download (Kbps),STD Web TCP RTT(ms)
1,0,2746,707.37828,601.34,39.97,1.8,2716.66,2002,2197.41,343,0,0,1,0,0,0,0,1,0,False,False,False,False,False,0.5,0,0,0.04679326714206827,0.03509790304022887,0.16003700277520813,0.0981019217671967,0.18662537279192476,0.19555286996158194,0.2087644552647596
8,0,1998,117.63223,1521.44,36.98,10.26,6372.91,2169,1037.89,494,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0.5,0,0,0.12000521976316918,0.03199859027914546,0.942645698427382,0.230133589867479,0.20578114246386786,0.0923643599530476,0.3006695069993914
1,0,3069,671.4875099999999,1375.46,143.42,0.84,21424.89,1992,655.45,181,1,0,1,1,0,0,0,3,0,False,False,True,False,False,0.5,0,0,0.10838965532057782,0.14232997833590744,0.07123034227567067,0.7736790333169388,0.1854783207157605,0.05833009252543627,0.11016433353621424
5,0,824,212.64817999999997,602.73,116.22,1.2,3355.79,2427,1610.47,288,0,0,0,1,0,0,0,1,0,False,False,False,False,False,0.5,0,0,0.046903868831170904,0.11413556124511522,0.10453283996299721,0.12118168929757166,0.23537508602890572,0.14331964926300914,0.17528910529519173
3,0,1709,430.20119000000005,2969.02,344.32,0.43,10475.36,1214,4032.47,47,0,0,0,0,0,0,0,0,0,False,True,True,False,False,0.5,0,0,0.23518852415970565,0.3505747722160604,0.03330249768732655,0.378278086769497,0.09623766919018123,0.3588593305454969,0.028606208155812538
1,0,1818,599.16751,2714.13,25.28,1.71,4431.14,2032,1042.03,112,0,0,0,1,0,0,0,1,0,False,False,False,False,True,0.5,0,0,0.21490703888246143,0.01987084469229733,0.15171137835337647,0.16001389559955828,0.19006652902041754,0.09273278864029345,0.06816798539257456
5,0,1436,778.4323099999999,4546.74,41.41,0.34,3551.75,1609,4003.98,124,0,0,0,0,0,0,0,0,0,False,False,True,False,False,0.5,0,0,0.36072701116042655,0.03659054865091787,0.02497687326549491,0.12825804503936483,0.1415462261986694,0.3563239360286769,0.07547169811320754
8,0,1806,471.61915,9110.82,140.43,0.32,13566.6,870,4111.98,97,0,0,0,0,0,0,0,0,0,True,True,True,True,True,0.5,1,1,0.7238888508723211,0.13923066557482403,0.02312673450508788,0.489906551370746,0.05677907777013076,0.36593511917422133,0.05903834449178332
3,0,2747,198.08061999999998,71.85,112.06,1.04,643.16,3124,450.99,420,1,0,0,0,0,0,0,1,0,False,False,False,False,False,0.5,0,0,0.00466198055001663,0.10982347392534698,0.08973172987974097,0.023225295768992155,0.3153246157375545,0.040134698951936075,0.2556299452221546
6,0,465,161.59232,374.82,139.75,3.71,2644.08,1829,1165.2,222,0,0,1,1,1,0,0,3,0,False,False,False,True,False,0.5,0,0,0.028769170296364787,0.13852580514755422,0.3367252543940796,0.09548096902306856,0.1667813718742831,0.1036939870480408,0.1351186853317103
1,0,419,432.63863,221.57,99.87,1.02,1869.08,1508,2253.09,88,1,0,1,1,1,0,0,4,0,False,False,False,False,False,0.5,0,0,0.01657513514889852,0.09718781420708385,0.08788159111933394,0.06749476928899163,0.12996100022941043,0.20050796882772934,0.05356055995130858
8,0,2058,172.11738,321.52,47.51,2.05,3287.18,1679,1083.02,169,0,0,0,1,0,0,0,1,0,False,False,False,False,False,0.5,0,0,0.024528112721422194,0.04291356130730878,0.183163737280296,0.11870409811853291,0.14957559073181922,0.09638058861377372,0.10286062081558126
5,0,1463,536.54162,5032.04,316.48,0.86,9092.97,1574,4825.29,87,0,0,0,0,1,0,0,1,0,False,False,True,False,False,0.5,0,0,0.3993421188737406,0.3217169570760731,0.0730804810360777,0.328358289801251,0.13753154393209452,0.42941431407744657,0.05295191722458917
8,0,1997,293.12581,453.68,59.85,0.31,1280.66,3561,678.45,567,1,0,0,1,1,0,0,3,0,False,False,False,False,False,0.5,0,0,0.03504402583782769,0.05570470494335203,0.022201665124884366,0.04624620200186189,0.36545079146593257,0.06037691856569111,0.3451004260499087
3,0,899,588.7419,353.3,43.76,4.11,1467.92,3121,424.88,356,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0.5,0,0,0.027056833354286654,0.03902646336280617,0.3737280296022202,0.05300839008212415,0.3149805001147052,0.03781110643406417,0.21667681071211198
1,0,132,210.15486,811.02,209.44,6.93,5172.86,1620,2323.74,47,0,0,1,1,0,0,0,2,0,False,False,False,True,False,0.5,0,0,0.0634774125888593,0.21076363334819068,0.6345975948196114,0.18679831375021574,0.1428079834824501,0.206795284468773,0.028606208155812538
5,0,381,187.22665,655.13,188.96,1.39,3144.61,2043,1807.32,176,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0.5,0,0,0.051073313801658554,0.1895348957739471,0.12210915818686399,0.11355572070422668,0.1913282863041982,0.16083781039449457,0.10712111990261716
8,0,66,323.08885,1239.45,67.47,2.03,2724.09,2927,3578.03,68,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0.5,0,0,0.09756739939622619,0.06360328796658132,0.18131359851988896,0.09837022817238922,0.2927276898371186,0.31841760768752264,0.041387705416920266
3,0,3020,176.57672,790.74,87.47,1.69,6446.79,1650,371.37,135,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0.5,0,0,0.06186374190180799,0.08433447700392856,0.14986123959296946,0.23280148720470947,0.1462491397109429,0.03304912115519302,0.08216676810712112
8,0,708,845.83484,5236.73,217.28,0.33,7842.39,1516,2659.94,108,0,0,0,1,0,0,0,1,0,False,False,True,False,False,0.5,0,0,0.41562921221360927,0.2188902594508308,0.024051803885291396,0.28319831346132596,0.13087864189034182,0.23671454163110678,0.06573341448569689
8,0,101,358.05300000000005,344.39,48.94,2.14,955.78,1955,1026.2,392,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0.5,0,0,0.02634786857018274,0.0443958413234791,0.1914893617021277,0.034514387073336844,0.18123422803395275,0.09132403836997895,0.23858794887401097
1,0,1450,172.8461,632.24,34.5,1.77,3618.33,1859,666.88,203,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0.5,0,0,0.0492519665616879,0.029427922838514402,0.15726179463459758,0.13066233043071301,0.17022252810277586,0.05934727607500639,0.12355447352404139
2,0,710,396.74996,207.6,102.36,6.11,1760.35,2904,1072.79,214,1,1,1,1,1,0,0,5,0,False,False,False,False,False,0.5,0,0,0.015463548388636832,0.09976884724223357,0.5587419056429231,0.06356839574436429,0.2900894700619408,0.09547019598804297,0.13024954351795495
1,0,2704,304.01657,774.0,50.14,1.85,1210.15,1677,845.21,200,1,1,1,0,0,0,0,3,0,False,False,False,False,False,0.5,0,0,0.06053174745894609,0.04563971266571994,0.1646623496762257,0.043699999494442844,0.14934618031658636,0.07521729728190402,0.12172854534388314
1,0,235,147.8762,35.51,81.28,0.31,2380.27,2103,1399.22,131,1,1,1,1,1,0,0,5,0,False,False,False,False,False,0.5,0,0,0.0017704227212471417,0.0779181739968696,0.022201665124884366,0.08595446663358879,0.19821059876118377,0.12451999704545111,0.07973219720024345
5,0,2151,236.0986,1184.18,127.49,1.06,6296.73,2163,3270.5,53,1,1,0,0,0,0,0,2,0,False,False,False,True,True,0.5,0,0,0.09316958978708778,0.12581758626766038,0.091581868640148,0.2273826367116829,0.2050929112181693,0.29104976368058477,0.03225806451612903
4,0,1934,554.31122,525.62,83.78,1.41,3167.35,1647,730.38,85,0,0,0,1,0,0,0,1,0,False,False,False,False,False,0.5,0,0,0.040768260020592605,0.08050957262653799,0.12395929694727102,0.11437688997126268,0.1459050240880936,0.0649982957948404,0.051734631771150334
3,0,356,169.52335,386.36,72.38,4.46,906.91,2497,633.64,271,0,0,1,0,0,0,0,1,0,False,False,False,False,False,0.5,0,0,0.029687403024598137,0.06869279487525007,0.40610545790934316,0.03274963148494414,0.2434044505620555,0.05638916748465548,0.16494217894096166
1,0,2132,453.51568,1780.52,228.84,1.69,11362.4,1382,2863.19,90,1,0,0,0,0,0,0,1,0,False,False,True,False,False,0.5,0,0,0.1406201014989314,0.2308728867144175,0.14986123959296946,0.41031018820448484,0.11550814406974076,0.25480225435640225,0.054777845404747415
1,0,617,563.6111,2829.99,89.35,1.25,2371.92,2103,2717.46,65,0,0,1,0,0,0,0,1,0,False,False,False,True,False,0.5,0,0,0.22412596816262742,0.08628320877343919,0.1091581868640148,0.08565293790097002,0.19821059876118377,0.24183338658047454,0.03956177723676202
3,0,1900,168.40668,1633.03,556.12,0.9,8130.94,1338,3517.55,178,0,0,0,1,0,0,0,1,0,False,False,True,True,False,0.5,0,0,0.12888438701997673,0.5701180641215676,0.07678075855689177,0.2936182075687684,0.11046111493461803,0.31303534512601777,0.10833840535605599
1,0,2609,270.34783,4436.27,152.17,0.86,5139.74,1262,2616.89,68,0,0,0,0,0,0,0,0,0,False,True,True,False,False,0.5,0,0,0.3519369618113852,0.15139987353974685,0.0730804810360777,0.18560230996287042,0.10174351915576967,0.2328834172383689,0.041387705416920266
3,0,2865,337.2527,199.74,117.36,0.86,2086.79,2176,1989.25,156,1,0,1,0,0,0,0,2,0,False,False,False,False,False,0.5,0,0,0.014838131643063685,0.115317239020244,0.0730804810360777,0.07535654418461214,0.20658407891718283,0.17702820437291034,0.09494826536822885
1,0,536,648.3837900000001,2794.75,100.52,0.32,3430.47,1513,1566.07,256,1,1,1,0,0,0,0,3,0,False,False,False,True,False,0.5,0,0,0.221321936850414,0.09786157785079763,0.02312673450508788,0.12387847561517278,0.13053452626749254,0.13936838508095198,0.15581253804017042
7,0,1506,284.91835,1282.85,154.47,1.38,1537.0,1492,1116.26,59,0,0,1,1,0,0,0,2,0,False,False,False,False,False,0.5,0,0,0.10102071832216442,0.1537839602790418,0.12118408880666048,0.055502953537130646,0.1281257169075476,0.09933869720412462,0.035909920876445525
6,0,1160,113.965,207.94,221.24,2.15,1235.97,5464,954.14,125,0,0,0,1,0,0,0,1,0,False,False,False,False,False,0.5,0,0,0.015490602039208698,0.22299503488022554,0.19241443108233117,0.044632391335905894,0.5837348015599908,0.084911243393424,0.07608034083992696
3,0,365,437.43224000000004,118.07,114.01,1.3,5825.17,1749,3553.96,229,0,1,0,1,1,0,0,3,0,False,False,False,False,False,0.5,0,0,0.008339685636580354,0.11184476485648835,0.11378353376503238,0.21035402723219734,0.15760495526496904,0.3162755597401777,0.1393791844187462
1,0,2152,494.29295,894.83,167.76,2.56,2614.69,2063,1383.21,169,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0.5,0,0,0.0701461374548244,0.167559835394359,0.2303422756706753,0.09441966010670144,0.19362239045652674,0.12309522813656068,0.10286062081558126
4,0,451,421.16987,1201.85,147.45,1.53,3709.16,1218,2561.67,78,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0.5,0,0,0.09457558392121977,0.1465073129269329,0.13506012950971322,0.13394231303954685,0.09669649002064694,0.22796925489302666,0.04747413268411443
8,0,1066,393.50192999999996,8725.0,579.36,1.27,10221.59,1751,2144.76,138,1,0,1,1,0,0,0,3,0,False,True,True,True,True,0.5,1,1,0.6931893230380932,0.5942077057829652,0.11100832562442182,0.36911414108366897,0.15783436568020187,0.19086741817812905,0.08399269628727937
4,0,99,698.15865,2114.86,139.82,1.46,4000.41,1699,1070.51,228,0,1,1,1,1,0,0,4,0,False,False,False,False,False,0.5,0,0,0.16722338835833675,0.13859836430918493,0.1285846438482886,0.14445970745574027,0.15186969488414773,0.09526729323274814,0.13877054169202677
1,0,2462,484.3187,657.43,126.44,4.18,5116.01,1646,1255.26,88,0,0,0,0,0,0,1,1,0,False,False,False,False,False,0.5,0,0,0.05125632379082117,0.12472919884319965,0.3802035152636447,0.18474539058262573,0.14579031888047717,0.11170864588218647,0.05356055995130858
1,0,1566,592.06969,895.32,80.98,1.23,3988.68,8883,4218.98,322,1,0,0,0,0,0,0,1,0,False,False,False,False,False,0.5,0,0,0.07018512653947208,0.07760720616130938,0.10730804810360776,0.14403612278105546,0.9759119064005506,0.375457309883233,0.19598295800365187
1,0,462,566.9680000000001,2677.88,131.6,0.77,9619.24,1125,2957.25,89,1,0,0,0,0,0,0,1,0,False,False,True,False,False,0.5,0,0,0.21202264231413745,0.13007784561483524,0.06475485661424606,0.3473625444258351,0.08602890571231935,0.26317288293667923,0.054169202678027994
1,0,431,162.6634,869.17,48.51,0.28,1557.52,1638,616.56,43,1,0,1,0,0,0,0,2,0,False,True,False,False,False,0.5,0,0,0.06810438253225352,0.04395012075917614,0.01942645698427382,0.05624395588363807,0.14487267721954578,0.05486917666867493,0.026171637248934874
5,0,2503,423.86552,677.7,65.7,8.47,3442.27,1864,1299.47,149,0,0,0,0,0,0,0,0,0,False,False,False,True,False,0.5,0,0,0.05286919878226745,0.0617685777367761,0.7770582793709528,0.12430458807564002,0.170796054140858,0.11564300150130241,0.09068776628119293
5,0,1858,648.52901,536.71,93.84,0.94,764.23,2705,748.76,571,1,0,1,0,0,0,0,2,0,False,False,False,False,False,0.5,0,0,0.04165068644659849,0.09093736071232365,0.08048103607770582,0.027597281835836925,0.2672631337462721,0.0666339767783136,0.34753499695678636
1,0,904,140.96726,394.83,101.55,0.27,347.76,2427,4945.86,229,0,0,0,0,0,0,0,0,0,False,True,True,False,False,0.5,0,0,0.030361357202079633,0.09892923408622101,0.018501387604070305,0.012558039767125929,0.23537508602890572,0.44014413215020853,0.1393791844187462
2,0,1588,171.8781,74.8,51.44,3.44,846.05,2653,1270.41,182,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0.5,0,0,0.004896710753507824,0.04698723995314751,0.31174838112858466,0.03055190230324618,0.2612984629502179,0.11305688129565869,0.11077297626293366
1,0,1788,417.16457,1869.9,166.34,0.33,4915.79,2263,3474.62,49,0,0,0,0,0,0,1,1,0,False,False,False,False,False,0.5,0,0,0.14773202881691205,0.1660879209727074,0.024051803885291396,0.17751520102035878,0.21656343197981187,0.3092148998256638,0.02982349360925137
3,0,494,264.9913,1345.8,132.41,3.86,2063.41,2210,1646.18,101,0,0,1,1,0,0,0,2,0,False,False,False,False,False,0.5,0,0,0.10602962215598499,0.1309174587708478,0.3506012950971323,0.07451226373327959,0.2104840559761413,0.14649756917159612,0.06147291539866099
5,0,1193,607.70376,10421.38,106.87,0.55,14769.94,922,4213.71,69,0,0,1,0,0,0,0,1,0,True,False,True,True,True,0.5,1,1,0.8281695340883954,0.10444373037015538,0.04440333024976873,0.5333606334197836,0.0627437485661849,0.3749883197427051,0.041996348143639686
5,0,255,468.37611,4629.74,122.52,1.15,13305.8,1269,1908.89,63,0,0,0,1,0,0,0,1,0,False,True,True,False,False,0.5,0,0,0.3673312846823822,0.12066588579187959,0.09990749306197963,0.4804887437699108,0.10254645560908465,0.16987677217313302,0.03834449178332319
7,0,379,746.7529,1010.77,484.15,1.5,12803.91,1154,3692.09,171,1,0,0,0,0,0,0,1,0,False,False,True,False,False,0.5,0,0,0.07937143229983085,0.4955168803706736,0.13228492136910266,0.46236488082212257,0.08935535673319568,0.328568084998456,0.10407790626902008
3,0,1325,847.6221099999999,923.72,296.21,1.96,2434.71,2074,1235.51,174,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0.5,0,0,0.07244490205782798,0.3007058969867216,0.17483811285846437,0.0879203617478122,0.1948841477403074,0.1099510452606633,0.10590383444917834
6,0,397,286.05251,428.43,34.71,1.68,4579.72,1808,490.89,131,1,0,1,0,0,0,0,2,0,False,False,False,False,False,0.5,0,0,0.033034894435064084,0.02964560032340655,0.14893617021276595,0.16537930147889912,0.16437256251433816,0.04368549716959556,0.07973219720024345
1,0,1340,108.06621000000001,233.78,142.41,1.2,6594.91,1186,1094.02,112,1,1,1,0,0,0,0,3,0,False,False,False,False,False,0.5,0,0,0.01754667948267055,0.1412830532895214,0.10453283996299721,0.2381502819203372,0.09302592337692131,0.09735950541563472,0.06816798539257456
4,0,1751,164.74624,907.18,203.53,0.86,4305.14,1305,407.22,203,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0.5,0,0,0.07112882152706718,0.20463756698765456,0.0730804810360777,0.15546388119117932,0.10667584308327598,0.036239500004894586,0.12355447352404139
5,0,1167,142.81877,3782.03,232.13,1.05,13842.94,735,2055.88,60,1,1,1,0,0,0,0,3,0,False,False,True,True,True,0.5,1,1,0.2998793725462737,0.2342831673110611,0.09065679925994449,0.49988552741528125,0.04129387474191328,0.1829577704190921,0.036518563603164945
2,0,1266,361.69187999999997,420.16,175.21,2.25,2162.1,3025,1039.7,225,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0.5,0,0,0.03237685416968369,0.17528220331077088,0.20166512488436633,0.07807608057425515,0.30396880018352834,0.092525436263172,0.13694461351186854
4,0,27,343.12782000000004,293.92,38.85,7.4,1136.43,3258,532.2,357,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0.5,0,0,0.022331992851470688,0.033936956454137426,0.6780758556891766,0.04103787995328652,0.33069511355815556,0.047361774722766314,0.2172854534388314
2,0,2327,448.11116,701.57,116.84,1.78,1269.62,3075,1280.45,279,1,1,0,1,0,0,0,3,0,False,False,False,False,False,0.5,0,0,0.05476852419153349,0.11477822810527298,0.1581868640148011,0.04584753407274678,0.3097040605643496,0.11395036535844819,0.16981132075471697
8,0,256,454.63951,1279.38,32.75,1.3,5131.74,3045,2580.22,126,1,0,0,0,0,0,0,1,0,False,False,False,False,False,0.5,0,0,0.10074461194721039,0.02761394379774652,0.11378353376503238,0.18531342015916383,0.30626290433585684,0.2296200645907104,0.07668898356664638
1,0,1330,389.78535,373.61,55.8,1.89,7011.4,1510,2507.2,224,0,0,0,0,0,0,0,0,0,False,False,False,False,False,0.5,0,0,0.028672891128153147,0.05150663916328921,0.16836262719703976,0.25319024621355746,0.13019041064464326,0.22312183687508397,0.1363359707851491
